Station_number,Station_name,Region,rainfall,Mean,Percentile,Years_of_data,latitude,longitude,Elevation
69127,ARALUEN LOWER (ARALUEN RD),NSW,1191.0,921.2,85.7,36,-35.69,149.84,145
69128,NERRIGA AWS,NSW,1087.6,823.6,-1.0,8,-35.11,150.08,622
69132,BRAIDWOOD RACECOURSE AWS,NSW,862.2,668.4,89.7,30,-35.43,149.78,665
69133,BEMBOKA (THE KNOB),NSW,640.0,749.6,-1.0,11,-36.66,149.51,400
69137,GREEN CAPE AWS,NSW,703.6,645.0,73.1,27,-37.26,150.05,19
69138,ULLADULLA AWS,NSW,1870.8,1161.8,96.2,27,-35.36,150.48,36
69139,BEGA AWS,NSW,808.0,684.4,77.3,23,-36.67,149.82,41
69144,BLACK RANGE (GRANDVIEW LANE),NSW,971.4,826.4,-1.0,10,-36.73,149.84,245
69147,MERIMBULA AIRPORT AWS,NSW,790.6,771.4,56.0,26,-36.91,149.90,2
69148,MORUYA AIRPORT AWS,NSW,945.4,866.8,75.0,25,-35.90,150.14,4
69150,BRAIDWOOD (MONGARLOWE (LEWESTON)),NSW,1174.4,1035.3,-1.0,17,-35.38,150.00,670
69152,CATHCART (MOUNT DARRAGH),NSW,1117.6,1121.8,-1.0,15,-36.84,149.52,880
70005,BOMBALA (THERRY STREET),NSW,663.4,656.0,57.1,120,-36.91,149.24,705
70008,TOMBONG (SNOWY RIVER @ BURNT HUT CROSSIN,NSW,511.8,515.3,-1.0,8,-36.84,148.93,-999
70016,CAPTAINS FLAT (FOXLOW ST),NSW,878.1,751.6,73.3,87,-35.59,149.45,850
70025,CROOKWELL POST OFFICE,NSW,753.0,864.5,26.1,120,-34.46,149.47,887
70032,FAIRLIGHT STATION,NSW,833.2,820.1,61.2,122,-35.23,148.91,610
70043,GUNNING RURAL SUPPLIES,NSW,567.1,657.7,30.3,110,-34.78,149.27,578
70063,MARULAN (GEORGE ST),NSW,821.5,727.4,69.0,88,-34.71,150.00,645
70067,NIMMITABEL WASTEWATER TREATMENT FACILITY,NSW,581.2,689.6,35.1,112,-36.51,149.28,1075
70080,TARALGA POST OFFICE,NSW,997.3,808.0,85.0,121,-34.40,149.82,845
70119,BIG HILL (GLEN DUSK),NSW,871.0,722.2,80.6,68,-34.57,150.00,648
70217,COOMA AIRPORT AWS,NSW,453.2,533.2,33.3,34,-36.29,148.97,930
70237,NIMMITABEL (COTTESLOE),NSW,855.2,1006.9,36.7,50,-36.59,149.38,1190
70242,ARANDA (BINDAGA ST),NSW,631.6,671.7,48.9,48,-35.26,149.07,630
70263,GOULBURN TAFE,NSW,595.6,639.4,37.5,49,-34.75,149.70,670
70278,COOMA VISITORS CENTRE,NSW,430.5,529.4,25.0,45,-36.23,149.12,778
70307,BRUCE (AUSTRALIAN INSTITUTE OF SPORT),NSW,563.6,704.6,13.8,30,-35.25,149.11,610
70308,TORRENS (DARKE ST),NSW,579.4,687.6,30.8,40,-35.38,149.09,653
70309,DELEGATE RIVER AT QUIDONG,NSW,513.2,448.9,68.4,20,-36.91,149.04,650
70328,BOMBALA AWS,NSW,724.8,590.9,79.3,30,-37.00,149.23,761
70330,GOULBURN AIRPORT AWS,NSW,564.0,580.6,53.3,31,-34.81,149.73,640
70333,NARRAWA (LACHLAN RIVER),NSW,544.8,630.6,-1.0,16,-34.40,149.09,460
70335,HILLVIEW (SHOALHAVEN RIVER),NSW,879.0,591.4,95.5,23,-35.20,149.96,550
70339,TUGGERANONG (ISABELLA PLAINS) AWS,NSW,562.0,647.5,32.0,26,-35.42,149.09,587
70346,SUTTON (GOOLABRI DVE),NSW,600.9,631.7,-1.0,19,-35.19,149.25,655
70349,MOUNT GININI AWS,NSW,1127.4,1059.5,-1.0,19,-35.53,148.77,1760
70350,GINNINDERRA (CHARNWOOD (ACT)),NSW,751.6,670.2,-1.0,6,-35.21,149.01,-999
70351,CANBERRA AIRPORT,NSW,601.6,643.7,-1.0,17,-35.31,149.20,577
70365,CANBERRA AIRPORT (SECONDARY),NSW,590.8,722.0,-1.0,4,-35.31,149.20,577
71032,THREDBO AWS,NSW,1477.8,1483.0,54.5,34,-36.49,148.29,1957
71073,BRINDABELLA (KOOLAMI),NSW,899.2,959.8,37.9,30,-35.39,148.75,645
71075,PERISHER VALLEY AWS,NSW,2122.2,2186.9,-1.0,12,-36.41,148.41,1738
72043,TUMBARUMBA POST OFFICE,NSW,836.5,973.6,25.8,125,-35.78,148.01,645
72101,HOLBROOK (NARRABILLA),NSW,570.2,698.4,23.6,56,-35.71,147.49,315
72150,WAGGA WAGGA AMO,NSW,521.4,573.5,41.3,81,-35.16,147.46,212
72152,ARGALONG (SANDY CREEK),NSW,941.0,954.0,-1.0,12,-35.32,148.43,700
72156,MURRAY RIVER @ JINGELLIC,NSW,737.8,717.0,-1.0,19,-35.93,147.72,-999
72160,ALBURY AIRPORT AWS,NSW,555.4,645.5,35.7,29,-36.07,146.95,164
72169,TUMBARUMBA (WONDALMA),NSW,777.2,1032.9,-1.0,6,-35.71,148.00,675
73014,GRENFELL (MANGANESE RD),NSW,599.9,619.5,52.5,121,-33.89,148.15,390
73017,GREENETHORPE (IANDRA),NSW,572.8,600.3,48.9,95,-34.08,148.37,440
73019,JUNEE TREATMENT WORKS,NSW,471.2,528.2,34.5,117,-34.85,147.57,280
73023,KANGIARA (LAVERSTOCK),NSW,609.6,701.7,33.7,99,-34.61,148.79,560
73029,MURRUMBURRAH (HISTORICAL SOCIETY),NSW,419.2,609.7,11.3,107,-34.55,148.35,370
73050,BOWNING (WANGANUI),NSW,725.2,684.0,55.0,81,-34.76,148.83,560
73100,BUMBALDRY (BUSHVIEW),NSW,617.8,687.1,35.9,104,-33.91,148.44,465
73115,BRUNGLE (BONNIE DOON),NSW,471.2,748.1,2.2,46,-35.16,148.23,265
73136,WOOLGARLO (ILDEMERE),NSW,826.6,872.1,50.0,21,-34.89,148.71,540
73138,YOUNG AIRPORT,NSW,559.6,628.5,41.4,30,-34.25,148.25,380
73142,COOTAMUNDRA AIRPORT,NSW,511.3,599.5,36.0,26,-34.63,148.04,335
